entity_type,sku,category,warehouse,week,stockout_probability,risk_band,evidence
SKU-Warehouse,SKU-00029,Electronics,Jacquelineland Distribution Center,2025-12-22,0.392,Medium,Inventory coverage declined from 16.2 to 14.0 days of supply.
SKU-Warehouse,SKU-00030,Industrial Parts,New Roberttown Distribution Center,2025-12-22,0.163,Low,"Demand decreased 29% (255 -> 181 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00030,Industrial Parts,Robinsonshire Distribution Center,2025-12-22,0.166,Low,"Demand decreased 14% (283 -> 243 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 6.4 to 13.9 days of supply."
SKU-Warehouse,SKU-00030,Industrial Parts,Lake Roberto Distribution Center,2025-12-22,0.174,Low,"Demand increased 40% (267 -> 374 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00030,Industrial Parts,Ericmouth Distribution Center,2025-12-22,0.061,Low,"Demand increased 86% (234 -> 436 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 3.2 to 3.6 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00030,Industrial Parts,New Kellystad Distribution Center,2025-12-22,0.136,Low,"Demand decreased 11% (274 -> 243 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00030,Industrial Parts,Ramirezstad Distribution Center,2025-12-22,0.141,Low,"Demand decreased 33% (416 -> 279 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 9.0 to 7.6 days of supply."
SKU-Warehouse,SKU-00030,Industrial Parts,West Michael Distribution Center,2025-12-22,0.108,Low,"Demand increased 25% (284 -> 354 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.8 to 0.0 days of supply."
SKU-Warehouse,SKU-00030,Industrial Parts,Jacquelineland Distribution Center,2025-12-22,0.175,Low,"Demand increased 108% (271 -> 563 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00030,Industrial Parts,South Noah Distribution Center,2025-12-22,0.065,Low,"Demand increased 23% (420 -> 516 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00031,Personal Care,North Judithbury Distribution Center,2025-12-22,0.366,Medium,"Demand decreased 53% (2396 -> 1135 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00031,Personal Care,East Jessetown Distribution Center,2025-12-22,0.262,Medium,"Demand increased 100% (1211 -> 2425 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.9 to 8.8 days of supply.; Late deliveries for this product-warehouse rose from 4 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00031,Personal Care,Lake Debra Distribution Center,2025-12-22,0.357,Medium,"Demand increased 16% (608 -> 708 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.7 to 2.0 days of supply.; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks."
SKU-Warehouse,SKU-00031,Personal Care,Lake Roberto Distribution Center,2025-12-22,0.258,Medium,"Demand decreased 36% (1184 -> 759 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00031,Personal Care,Ericmouth Distribution Center,2025-12-22,0.378,Medium,"Demand increased 33% (1176 -> 1566 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00031,Personal Care,Port Keith Distribution Center,2025-12-22,0.293,Medium,"Demand increased 32% (660 -> 868 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.3 to 0.0 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00031,Personal Care,Port Jesseville Distribution Center,2025-12-22,0.551,High,Inventory coverage declined from 11.9 to 9.0 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.
SKU-Warehouse,SKU-00031,Personal Care,Ramirezstad Distribution Center,2025-12-22,0.218,Low,"Demand increased 45% (938 -> 1357 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00031,Personal Care,South Noah Distribution Center,2025-12-22,0.737,High,"Demand increased 24% (1368 -> 1696 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.9 to 3.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00031,Personal Care,Lake Mark Distribution Center,2025-12-22,0.517,High,Late deliveries for this product-warehouse rose from 4 to 6 orders over the last 4 weeks.
SKU-Warehouse,SKU-00032,Apparel,North Judithbury Distribution Center,2025-12-22,0.367,Medium,"Demand increased 23% (220 -> 272 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00032,Apparel,East Jill Distribution Center,2025-12-22,0.425,Medium,Inventory coverage improved from 0.9 to 4.5 days of supply.
SKU-Warehouse,SKU-00032,Apparel,New Roberttown Distribution Center,2025-12-22,0.273,Medium,"Demand increased 18% (151 -> 177 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 1.8 to 3.3 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00032,Apparel,Lake Debra Distribution Center,2025-12-22,0.354,Medium,"Demand decreased 31% (154 -> 106 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00032,Apparel,Robinsonshire Distribution Center,2025-12-22,0.162,Low,Stockout-flagged orders increased from 0 to 1 in the same comparison window.
SKU-Warehouse,SKU-00032,Apparel,Cassandraton Distribution Center,2025-12-22,0.487,Medium,"Demand decreased 31% (388 -> 269 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00032,Apparel,Herrerafurt Distribution Center,2025-12-22,0.374,Medium,"Demand decreased 16% (336 -> 283 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 13.1 to 11.2 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00032,Apparel,Lake Chad Distribution Center,2025-12-22,0.348,Medium,Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.
SKU-Warehouse,SKU-00032,Apparel,Ramirezstad Distribution Center,2025-12-22,0.42,Medium,"Demand decreased 52% (391 -> 187 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00032,Apparel,Jacquelineland Distribution Center,2025-12-22,0.33,Medium,"Demand increased 31% (196 -> 257 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00032,Apparel,Lake Mark Distribution Center,2025-12-22,0.379,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00033,Home & Kitchen,North Judithbury Distribution Center,2025-12-22,0.154,Low,"Demand decreased 21% (84 -> 66 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00033,Home & Kitchen,East Jessetown Distribution Center,2025-12-22,0.064,Low,"Demand decreased 22% (60 -> 46 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 3.2 to 5.8 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00033,Home & Kitchen,North Noahstad Distribution Center,2025-12-22,0.136,Low,"Demand decreased 60% (109 -> 43 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00033,Home & Kitchen,Cassandraton Distribution Center,2025-12-22,0.067,Low,"Demand decreased 35% (62 -> 40 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00033,Home & Kitchen,New Kellystad Distribution Center,2025-12-22,0.049,Low,"Demand increased 57% (35 -> 56 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00033,Home & Kitchen,Port Keith Distribution Center,2025-12-22,0.037,Low,"Demand increased 13% (31 -> 35 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00033,Home & Kitchen,Port Jesseville Distribution Center,2025-12-22,0.042,Low,"Demand decreased 35% (57 -> 37 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00033,Home & Kitchen,Jacquelineland Distribution Center,2025-12-22,0.034,Low,"Demand decreased 36% (56 -> 36 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00033,Home & Kitchen,New Jessica Distribution Center,2025-12-22,0.055,Low,"Demand decreased 20% (80 -> 64 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 3.5 to 13.9 days of supply."
SKU-Warehouse,SKU-00033,Home & Kitchen,South Noah Distribution Center,2025-12-22,0.048,Low,"Demand increased 107% (44 -> 91 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00034,Office Supplies,East Jessetown Distribution Center,2025-12-22,0.138,Low,"Demand increased 12% (439 -> 494 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.8 to 4.8 days of supply."
SKU-Warehouse,SKU-00034,Office Supplies,Robinsonshire Distribution Center,2025-12-22,0.194,Low,Inventory coverage improved from 12.6 to 20.3 days of supply.
SKU-Warehouse,SKU-00034,Office Supplies,Lisatown Distribution Center,2025-12-22,0.092,Low,Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.
SKU-Warehouse,SKU-00034,Office Supplies,Cassandraton Distribution Center,2025-12-22,0.211,Low,Inventory coverage improved from 1.9 to 7.6 days of supply.
SKU-Warehouse,SKU-00034,Office Supplies,Herrerafurt Distribution Center,2025-12-22,0.129,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00034,Office Supplies,Port Jesseville Distribution Center,2025-12-22,0.154,Low,"Demand increased 40% (302 -> 422 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00034,Office Supplies,West Michael Distribution Center,2025-12-22,0.123,Low,"Demand decreased 20% (427 -> 340 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00034,Office Supplies,Jacquelineland Distribution Center,2025-12-22,0.113,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00034,Office Supplies,Lake Mark Distribution Center,2025-12-22,0.153,Low,Inventory coverage improved from 7.1 to 9.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.
SKU-Warehouse,SKU-00035,Home & Kitchen,North Judithbury Distribution Center,2025-12-22,0.368,Medium,"Demand increased 58% (2120 -> 3348 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00035,Home & Kitchen,East Jill Distribution Center,2025-12-22,0.559,High,"Demand increased 24% (2552 -> 3154 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.5 to 3.2 days of supply."
SKU-Warehouse,SKU-00035,Home & Kitchen,Ericmouth Distribution Center,2025-12-22,0.375,Medium,"Demand increased 21% (2712 -> 3293 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 10.1 to 9.0 days of supply.; Late deliveries for this product-warehouse rose from 3 to 6 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 3 in the same comparison window."
SKU-Warehouse,SKU-00035,Home & Kitchen,Herrerafurt Distribution Center,2025-12-22,0.649,High,"Demand increased 36% (2088 -> 2831 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 13.7 to 4.3 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00035,Home & Kitchen,New Kellystad Distribution Center,2025-12-22,0.426,Medium,"Demand increased 114% (724 -> 1552 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 0.1 to 0.1 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks."
SKU-Warehouse,SKU-00035,Home & Kitchen,Port Keith Distribution Center,2025-12-22,0.323,Medium,"Demand decreased 12% (1929 -> 1688 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.8 to 6.3 days of supply."
SKU-Warehouse,SKU-00035,Home & Kitchen,Port Jesseville Distribution Center,2025-12-22,0.368,Medium,"Demand decreased 40% (2648 -> 1582 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00035,Home & Kitchen,Jacquelineland Distribution Center,2025-12-22,0.171,Low,"Demand increased 33% (1813 -> 2406 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 4.1 to 8.4 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00036,Industrial Parts,Robinsonshire Distribution Center,2025-12-22,0.367,Medium,"Demand decreased 20% (202 -> 162 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00036,Industrial Parts,Lake Roberto Distribution Center,2025-12-22,0.441,Medium,Inventory coverage declined from 7.4 to 5.6 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.
SKU-Warehouse,SKU-00036,Industrial Parts,Ericmouth Distribution Center,2025-12-22,0.365,Medium,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.
SKU-Warehouse,SKU-00036,Industrial Parts,Herrerafurt Distribution Center,2025-12-22,0.4,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00036,Industrial Parts,New Kellystad Distribution Center,2025-12-22,0.26,Medium,"Demand increased 42% (116 -> 165 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 27.4 to 24.5 days of supply."
SKU-Warehouse,SKU-00036,Industrial Parts,Lake Chad Distribution Center,2025-12-22,0.367,Medium,"Demand increased 14% (190 -> 216 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00036,Industrial Parts,Jacquelineland Distribution Center,2025-12-22,0.357,Medium,"Demand decreased 49% (382 -> 194 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00037,Automotive Parts,East Jill Distribution Center,2025-12-22,0.399,Medium,"Demand decreased 39% (2215 -> 1350 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00037,Automotive Parts,New Roberttown Distribution Center,2025-12-22,0.055,Low,"Demand decreased 49% (718 -> 364 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 10.7 to 12.1 days of supply."
SKU-Warehouse,SKU-00037,Automotive Parts,East Jessetown Distribution Center,2025-12-22,0.406,Medium,"Demand decreased 14% (1493 -> 1282 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00037,Automotive Parts,Lake Roberto Distribution Center,2025-12-22,0.247,Low,"Demand decreased 19% (1019 -> 824 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00037,Automotive Parts,North Noahstad Distribution Center,2025-12-22,0.275,Medium,"Demand increased 108% (1020 -> 2124 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00037,Automotive Parts,New Kellystad Distribution Center,2025-12-22,0.143,Low,"Demand increased 26% (446 -> 562 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 12.3 to 4.6 days of supply."
SKU-Warehouse,SKU-00037,Automotive Parts,Port Keith Distribution Center,2025-12-22,0.195,Low,"Demand increased 32% (638 -> 845 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 1.2 to 4.9 days of supply."
SKU-Warehouse,SKU-00037,Automotive Parts,Port Jesseville Distribution Center,2025-12-22,0.157,Low,"Demand increased 27% (639 -> 814 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.9 to 4.5 days of supply."
SKU-Warehouse,SKU-00037,Automotive Parts,Ramirezstad Distribution Center,2025-12-22,0.306,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00037,Automotive Parts,Jacquelineland Distribution Center,2025-12-22,0.269,Medium,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00037,Automotive Parts,Lake Mark Distribution Center,2025-12-22,0.464,Medium,"Demand increased 119% (1080 -> 2360 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 6 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00038,Apparel,North Judithbury Distribution Center,2025-12-22,0.338,Medium,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.
SKU-Warehouse,SKU-00038,Apparel,East Jessetown Distribution Center,2025-12-22,0.203,Low,"Demand decreased 13% (1102 -> 958 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 9.1 to 0.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00038,Apparel,Lisatown Distribution Center,2025-12-22,0.332,Medium,"Demand increased 25% (858 -> 1073 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00038,Apparel,Lake Roberto Distribution Center,2025-12-22,0.335,Medium,"Demand decreased 60% (1032 -> 415 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00038,Apparel,Ericmouth Distribution Center,2025-12-22,0.231,Low,"Demand decreased 49% (1558 -> 801 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 3.0 to 0.0 days of supply."
SKU-Warehouse,SKU-00038,Apparel,Herrerafurt Distribution Center,2025-12-22,0.149,Low,"Demand increased 56% (1013 -> 1579 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.6 to 6.4 days of supply.; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 2 to 3 in the same comparison window."
SKU-Warehouse,SKU-00038,Apparel,New Kellystad Distribution Center,2025-12-22,0.495,Medium,"Demand increased 118% (355 -> 775 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.6 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 0 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00038,Apparel,Port Jesseville Distribution Center,2025-12-22,0.293,Medium,"Demand decreased 22% (842 -> 654 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00038,Apparel,West Michael Distribution Center,2025-12-22,0.145,Low,"Demand increased 42% (724 -> 1028 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 5 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window."
SKU-Warehouse,SKU-00038,Apparel,Jacquelineland Distribution Center,2025-12-22,0.197,Low,"Demand decreased 25% (1062 -> 795 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00039,Packaged Foods,New Roberttown Distribution Center,2025-12-22,0.208,Low,Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.
SKU-Warehouse,SKU-00039,Packaged Foods,East Jessetown Distribution Center,2025-12-22,0.41,Medium,"Demand decreased 47% (2016 -> 1063 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00039,Packaged Foods,Lake Roberto Distribution Center,2025-12-22,0.259,Medium,"Demand decreased 38% (1164 -> 724 units/week, trailing 4wk vs prior 4wk)."
SKU-Warehouse,SKU-00039,Packaged Foods,North Noahstad Distribution Center,2025-12-22,0.491,Medium,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.
SKU-Warehouse,SKU-00039,Packaged Foods,Herrerafurt Distribution Center,2025-12-22,0.413,Medium,"Demand increased 50% (953 -> 1429 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00039,Packaged Foods,Lake Chad Distribution Center,2025-12-22,0.165,Low,"Demand increased 59% (1087 -> 1730 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 6.0 to 4.5 days of supply.; Late deliveries for this product-warehouse rose from 1 to 4 orders over the last 4 weeks."
SKU-Warehouse,SKU-00040,Personal Care,East Jill Distribution Center,2025-12-22,0.524,High,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00040,Personal Care,East Jessetown Distribution Center,2025-12-22,0.648,High,"Demand decreased 27% (2310 -> 1685 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 1 to 2 in the same comparison window."
SKU-Warehouse,SKU-00040,Personal Care,Lake Debra Distribution Center,2025-12-22,0.432,Medium,"Demand decreased 27% (1216 -> 885 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.5 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00040,Personal Care,Robinsonshire Distribution Center,2025-12-22,0.751,High,"Demand decreased 27% (1248 -> 907 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window."
SKU-Warehouse,SKU-00040,Personal Care,Lake Roberto Distribution Center,2025-12-22,0.386,Medium,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.
SKU-Warehouse,SKU-00040,Personal Care,Herrerafurt Distribution Center,2025-12-22,0.641,High,Late deliveries for this product-warehouse rose from 6 to 7 orders over the last 4 weeks.
SKU-Warehouse,SKU-00040,Personal Care,New Jessica Distribution Center,2025-12-22,0.481,Medium,"Demand decreased 37% (2527 -> 1597 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 6.9 to 13.8 days of supply.; Stockout-flagged orders increased from 2 to 3 in the same comparison window."
SKU-Warehouse,SKU-00041,Automotive Parts,North Judithbury Distribution Center,2025-12-22,0.167,Low,"Demand decreased 27% (489 -> 356 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 6.8 to 12.9 days of supply."
SKU-Warehouse,SKU-00041,Automotive Parts,Lisatown Distribution Center,2025-12-22,0.233,Low,"Demand decreased 29% (393 -> 280 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00041,Automotive Parts,Lake Roberto Distribution Center,2025-12-22,0.18,Low,"Demand decreased 15% (282 -> 240 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 1.3 to 6.6 days of supply."
SKU-Warehouse,SKU-00041,Automotive Parts,Herrerafurt Distribution Center,2025-12-22,0.146,Low,"Demand decreased 26% (628 -> 464 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.9 to 3.7 days of supply."
SKU-Warehouse,SKU-00041,Automotive Parts,New Kellystad Distribution Center,2025-12-22,0.192,Low,"Demand decreased 23% (172 -> 132 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00041,Automotive Parts,Port Keith Distribution Center,2025-12-22,0.145,Low,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.
SKU-Warehouse,SKU-00041,Automotive Parts,Port Jesseville Distribution Center,2025-12-22,0.217,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00041,Automotive Parts,West Michael Distribution Center,2025-12-22,0.147,Low,"Demand decreased 35% (305 -> 198 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.6 to 2.2 days of supply."
SKU-Warehouse,SKU-00041,Automotive Parts,New Jessica Distribution Center,2025-12-22,0.108,Low,Inventory coverage improved from 5.2 to 11.8 days of supply.
SKU-Warehouse,SKU-00041,Automotive Parts,Lake Mark Distribution Center,2025-12-22,0.129,Low,"Demand decreased 16% (408 -> 341 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00042,Industrial Parts,East Jill Distribution Center,2025-12-22,0.321,Medium,"Demand increased 15% (839 -> 968 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 5.8 to 7.0 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00042,Industrial Parts,East Jessetown Distribution Center,2025-12-22,0.233,Low,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window."
SKU-Warehouse,SKU-00042,Industrial Parts,Lake Debra Distribution Center,2025-12-22,0.157,Low,"Demand decreased 12% (462 -> 406 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks."
SKU-Warehouse,SKU-00042,Industrial Parts,Lake Roberto Distribution Center,2025-12-22,0.42,Medium,"Demand increased 34% (626 -> 841 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 8.4 to 2.2 days of supply."
SKU-Warehouse,SKU-00042,Industrial Parts,Ericmouth Distribution Center,2025-12-22,0.122,Low,"Demand increased 13% (673 -> 763 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 6.5 to 13.2 days of supply."
SKU-Warehouse,SKU-00042,Industrial Parts,North Noahstad Distribution Center,2025-12-22,0.315,Medium,"Demand increased 44% (629 -> 908 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks."
SKU-Warehouse,SKU-00042,Industrial Parts,Lake Chad Distribution Center,2025-12-22,0.209,Low,"Demand increased 32% (648 -> 854 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 7.2 to 2.6 days of supply."
SKU-Warehouse,SKU-00042,Industrial Parts,Port Jesseville Distribution Center,2025-12-22,0.198,Low,Inventory coverage improved from 2.6 to 5.5 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.
